address,type,x-text
0x58c9d8,string,"TIFFOpen"
0x58c9e8,string,"TIFFReadRawStrip"
0x58ca00,string,"TIFFFillStrip"
0x58ca10,string,"TIFFReadRawTile"
0x58ca20,string,"TIFFFillTile"
0x58ca30,string,"TIFFReadBufferSetup"
0x58ca5f,string,"?TIFFAdvanceDirectory"
0x58ca78,string,"TIFFUnlinkDirectory"
0x58cb38,string,"TIFFClientOpen"
0x58d3b0,string,"TIFFLinkDirectory"
0x58d3d8,string,"TIFFWriteScanline"
0x58d3f0,string,"TIFFWriteEncodedStrip"
0x58d408,string,"TIFFWriteRawStrip"
0x58d420,string,"TIFFWriteEncodedTile"
0x58d438,string,"TIFFWriteRawTile"
0x58d450,string,"TIFFWriteBufferSetup"
0x58d468,string,"TIFFAppendToStrip"
0x58d520,string,"WAV"
0x58d568,string,".com"
0x58d570,string,".bat"
0x58d578,string,".cmd"
0x58d580,string,".exe"
0x58d588,string,"./\\"
0x58d58c,string,"?*"
0x58d5b0,string,"\n\n"
0x58d5b8,string,"(Press Retry to debug the application - JIT must be enabled)"
0x58d5f8,string,"For information on how your program can cause an assertion\nfailure, see the Visual C++ documentation on asserts"
0x58d668,string,"Microsoft Visual C++ Runtime Library"
0x58d690,string,"Expression: "
0x58d6a0,string,"Line: "
0x58d6a8,string,"File: "
0x58d6b0,string,"<program name unknown>"
0x58d6c8,string,"Program: "
0x58d6d4,string,"Assertion failed!"
0x58d6ff,string,"?IsProcessorFeaturePresent"
0x58d71c,string,"KERNEL32"
0x58d730,string,"e+000"
0x58d794,string,"(null)"
0x58d7a5,string,"null)"
0x58d7ac,string,"_yn"
0x58d7b0,string,"_y1"
0x58d7b4,string,"_y0"
0x58d7b8,string,"frexp"
0x58d7c0,string,"fmod"
0x58d7c8,string,"_hypot"
0x58d7d0,string,"_cabs"
0x58d7d8,string,"ldexp"
0x58d7e0,string,"modf"
0x58d7e8,string,"fabs"
0x58d7f0,string,"floor"
0x58d7f8,string,"ceil"
0x58d80c,string,"sqrt"
0x58d814,string,"atan2"
0x58d81c,string,"atan"
0x58d824,string,"acos"
0x58d82c,string,"asin"
0x58d834,string,"tanh"
0x58d83c,string,"cosh"
0x58d844,string,"sinh"
0x58d84c,string,"log10"
0x58d854,string,"log"
0x58d858,string,"pow"
0x58d8b4,string,""
0x58d8b8,widechar,""
0x58d910,string,"runtime error "
0x58d920,string,"\r\n"
0x58d924,string,"TLOSS error\r\n"
0x58d934,string,"SING error\r\n"
0x58d944,string,"DOMAIN error\r\n"
0x58d954,string,"R6028\r\n- unable to initialize heap\r\n"
0x58d97c,string,"R6027\r\n- not enough space for lowio initialization\r\n"
0x58d9b4,string,"R6026\r\n- not enough space for stdio initialization\r\n"
0x58d9ec,string,"R6025\r\n- pure virtual function call\r\n"
0x58da14,string,"R6024\r\n- not enough space for _onexit/atexit table\r\n"
0x58da4c,string,"R6019\r\n- unable to open console device\r\n"
0x58da78,string,"R6018\r\n- unexpected heap error\r\n"
0x58da9c,string,"R6017\r\n- unexpected multithread lock error\r\n"
0x58dacc,string,"R6016\r\n- not enough space for thread data\r\n"
0x58daf8,string,"\r\nabnormal program termination\r\n"
0x58db1c,string,"R6009\r\n- not enough space for environment\r\n"
0x58db48,string,"R6008\r\n- not enough space for arguments\r\n"
0x58db74,string,"R6002\r\n- floating point not loaded\r\n"
0x58db9c,string,"Runtime Error!\n\nProgram: "
0x58dbc4,string,"GetLastActivePopup"
0x58dbd8,string,"GetActiveWindow"
0x58dbe8,string,"MessageBoxA"
0x58dbf4,string,"user32.dll"
0x58dc10,string,"SunMonTueWedThuFriSat"
0x58dc28,string,"JanFebMarAprMayJunJulAugSepOctNovDec"
0x58dc50,string,"TZ"
0x58dffe,string,"GetSystemInfo"
0x58e00e,string,"HeapAlloc"
0x58e01a,string,"GetProcessHeap"
0x58e02c,string,"HeapFree"
0x58e038,string,"GetModuleHandleA"
0x58e04c,string,"Sleep"
0x58e054,string,"FindClose"
0x58e060,string,"FindNextFileA"
0x58e070,string,"FindFirstFileA"
0x58e082,string,"SetCurrentDirectoryA"
0x58e09a,string,"GetCurrentDirectoryA"
0x58e0b2,string,"FormatMessageA"
0x58e0c4,string,"IsBadReadPtr"
0x58e0d4,string,"GetPrivateProfileStringA"
0x58e0f0,string,"GetComputerNameA"
0x58e104,string,"ExitProcess"
0x58e112,string,"GetSystemDefaultLangID"
0x58e12c,string,"QueryPerformanceCounter"
0x58e146,string,"GlobalMemoryStatus"
0x58e15c,string,"GetShortPathNameA"
0x58e170,string,"SetFileAttributesA"
0x58e186,string,"GetFileAttributesA"
0x58e19c,string,"DeleteFileA"
0x58e1aa,string,"CloseHandle"
0x58e1b8,string,"GetFileSize"
0x58e1c6,string,"CreateFileA"
0x58e1d4,string,"QueryPerformanceFrequency"
0x58e1f0,string,"GetDateFormatA"
0x58e202,string,"GetLocalTime"
0x58e212,string,"GetTimeFormatA"
0x58e222,string,"KERNEL32.dll"
0x58e232,string,"ReleaseDC"
0x58e23e,string,"GetDC"
0x58e246,string,"SetRect"
0x58e250,string,"ClientToScreen"
0x58e262,string,"GetClientRect"
0x58e272,string,"ShowCursor"
0x58e280,string,"GetSystemMetrics"
0x58e294,string,"MessageBoxA"
0x58e2a2,string,"SetFocus"
0x58e2ae,string,"UpdateWindow"
0x58e2be,string,"CreateWindowExA"
0x58e2d0,string,"RegisterClassA"
0x58e2e2,string,"LoadCursorA"
0x58e2f0,string,"LoadIconA"
0x58e2fc,string,"FindWindowA"
0x58e30a,string,"DestroyWindow"
0x58e31a,string,"ReleaseCapture"
0x58e32c,string,"SetCapture"
0x58e33a,string,"ScreenToClient"
0x58e34c,string,"GetCursorPos"
0x58e35c,string,"DefWindowProcA"
0x58e36e,string,"GetForegroundWindow"
0x58e384,string,"EndPaint"
0x58e390,string,"BeginPaint"
0x58e39e,string,"SetWindowPos"
0x58e3ae,string,"IsIconic"
0x58e3ba,string,"SendMessageA"
0x58e3ca,string,"SetForegroundWindow"
0x58e3e0,string,"DispatchMessageA"
0x58e3f4,string,"TranslateMessage"
0x58e408,string,"GetMessageA"
0x58e416,string,"PeekMessageA"
0x58e424,string,"USER32.dll"
0x58e432,string,"GetSystemPaletteEntries"
0x58e44c,string,"GetStockObject"
0x58e45e,string,"SetPaletteEntries"
0x58e470,string,"GDI32.dll"
0x58e47c,string,"RegCloseKey"
0x58e48a,string,"RegQueryValueExA"
0x58e49e,string,"RegOpenKeyExA"
0x58e4ac,string,"ADVAPI32.dll"
0x58e4bc,string,"joyGetPosEx"
0x58e4c8,string,"WINMM.dll"
0x58e4d2,string,"WSOCK32.dll"
0x58e4e0,string,"DirectSoundCreate"
0x58e4f2,string,"DSOUND.dll"
0x58e500,string,"DirectInputCreateA"
0x58e514,string,"DINPUT.dll"
0x58e522,string,"_SmackClose@4"
0x58e532,string,"_SmackBlitClose@4"
0x58e546,string,"_SmackBlit@44"
0x58e556,string,"_SmackBlitSetPalette@12"
0x58e570,string,"_SmackBlitOpen@4"
0x58e584,string,"_SmackWait@4"
0x58e594,string,"_SmackNextFrame@4"
0x58e5a8,string,"_SmackDoFrame@4"
0x58e5ba,string,"_SmackToBuffer@28"
0x58e5ce,string,"_SmackBufferOpen@24"
0x58e5e4,string,"_SmackOpen@12"
0x58e5f4,string,"_SmackSoundUseDirectSound@4"
0x58e612,string,"_SmackUseMMX@4"
0x58e622,string,"smackw32.dll"
0x58e632,string,"_IFReleaseProject@4"
0x58e648,string,"_IFCreateEffectStructs@12"
0x58e664,string,"_IFLoadProjectFile@8"
0x58e67a,string,"IFORCE2.dll"
0x58e688,string,"LoadLibraryA"
0x58e698,string,"GetProcAddress"
0x58e6aa,string,"GetPrivateProfileSectionA"
